Component,Cumulative_Explained_Variance
1,0.16343919919883856
2,0.2300709180248679
3,0.2864308248677123
4,0.34187031670607165
5,0.3954487605830083
6,0.43606076400717037
7,0.4704653578605162
8,0.50148787645631
9,0.5293982884735281
10,0.5550369418396005
