Component,Cumulative_Explained_Variance
1,0.10355143414696225
2,0.17177527279870297
3,0.23339902147401975
4,0.28924274418036755
5,0.340986879681506
6,0.3863314968557964
7,0.4246323939430997
8,0.45910322151194394
9,0.49011529859051944
10,0.5187504622838232
