epoch,fp,fc
0,104.81998443603516,23.180252838134766
1,94.82790679931641,33.17219123840332
2,42.9768684387207,85.0235824584961
3,60.659549713134766,67.34050140380859
4,41.36102294921875,86.63898468017578
5,52.07258834838867,75.92768707275391
6,24.478605270385742,103.52110290527344
7,74.43123474121094,53.56724891662598
8,22.845099210739136,105.15470428466797
9,39.57127647399902,88.42857666015625
10,46.95136642456055,81.04805450439453
11,28.839379024505615,99.15977478027344
12,23.23863468170166,104.7607650756836
13,15.469966220855714,112.5298843383789
14,27.953040051460267,100.04700164794922
15,16.010341238975524,111.98899993896484
16,46.46823234558106,81.53189697265626
17,13.967118096351623,114.03400421142578
18,60.12412033081055,67.87603225708008
19,27.03385524749756,100.96602783203124
20,20.699739074707033,107.30009460449219
21,43.08663558959961,84.9131576538086
22,31.071642303466795,96.9292709350586
23,26.5658260345459,101.43441772460938
24,26.936930465698243,101.06306762695313
25,24.707838439941405,103.29206237792968
26,42.913490295410156,85.08733367919922
27,33.053588485717775,94.94498443603516
28,27.219309616088868,100.78387908935547
29,29.172259902954103,98.82767181396484
30,24.848396682739256,103.15151824951172
31,36.12181015014649,91.87817687988282
32,58.335044860839844,69.6662208557129
33,37.336355209350586,90.6633071899414
34,31.523463439941406,96.47651062011718
35,29.924806976318358,98.07481384277344
36,33.74959449768066,94.25226287841797
37,26.17436752319336,101.82572631835937
38,36.588617134094235,91.41082916259765
39,39.01457252502441,88.98576049804687
40,30.261001586914062,97.73601684570312
41,50.696320343017575,77.30374298095703
42,33.00678749084473,94.99311676025391
43,47.28986587524414,80.71062850952148
44,41.085836029052736,86.91314697265625
45,51.04415016174316,76.95411605834961
46,48.01307754516601,79.98694763183593
47,43.881121444702146,84.1193000793457
48,72.24125061035156,55.75876235961914
49,48.936974716186526,79.06213073730468
50,43.69221725463867,84.3070785522461
51,47.29625282287598,80.7037109375
52,45.55769309997559,82.44229583740234
53,61.911563110351565,66.08880310058593
54,59.90572509765625,68.09440994262695
55,75.12091903686523,52.87937545776367
56,59.36145553588867,68.63871536254882
57,74.2936393737793,53.703788375854494
58,68.31677551269532,59.683424377441405
59,77.12349472045898,50.87609214782715
60,69.36115951538086,58.63862819671631
61,80.29314193725585,47.694776153564455
62,53.74959449768066,74.25097045898437
63,74.28562850952149,53.714565658569335
64,64.10420532226563,63.896208953857425
65,71.12091598510742,56.878675365448
66,64.61515083312989,63.38496780395508
67,44.40490427017212,83.5949317932129
68,50.60670623779297,77.39321975708008
69,49.08895654678345,78.91069259643555
70,59.878946685791014,68.12109909057617
71,61.69426727294922,66.30557632446289
72,51.81911277770996,76.18025169372558
73,38.901082611083986,89.09897003173828
74,72.28788948059082,55.71149253845215
75,47.742333984375,80.25754165649414
76,77.50399551391601,50.495596694946286
77,92.66914215087891,35.330374813079835
78,88.6239616394043,39.3769024848938
79,49.323441886901854,78.67651824951172
80,73.56939296722412,54.43123950958252
81,56.393579435348514,71.60611820220947
82,89.65278015136718,38.34707183837891
83,56.56298856735229,71.43645362854004
84,37.91291263103485,90.08627624511719
85,40.4326856136322,87.56882972717285
86,70.47626371383667,57.52437973022461
87,49.65690174102783,78.34398765563965
88,16.33436609506607,111.66685943603515
89,44.287017250061034,83.71199264526368
90,34.427975714206696,93.57104263305663
91,75.05428848266601,52.94514541625976
92,67.29915103912353,60.69910163879395
93,94.45194702148437,33.54424947500229
94,83.27508773803712,44.723723316192626
95,34.7090488910675,93.29089965820313
96,99.24714851379395,28.752670638263226
97,32.996646356582644,95.00258178710938
98,80.80867136716843,47.191487884521486
99,55.36880970001221,72.63318178653716
100,84.48428468704223,43.517177045345306
101,50.71954983472824,77.27928450107575
102,102.91492080688477,25.084894160926343
103,90.32989196777343,37.66929251551628
104,45.704402923583984,82.29354553222656
105,72.1450647354126,55.85614731311798
106,62.560750532150266,65.43835085630417
107,76.4725772857666,51.5274573802948
108,69.91839618682862,58.076425075531006
109,56.559827423095705,71.44028730392456
110,107.52103691101074,20.479567009583114
111,55.77936019897461,72.21803715825081
112,45.21930543780327,82.78435872793197
113,72.06659812927246,55.93532314300537
114,44.03738909959793,83.96266975402833
115,63.95693998336792,64.04241530895233
116,51.969155478477475,76.03184566497802
117,100.72944793701171,27.268252658843995
118,60.97179534435272,67.02918358445167
119,99.2360904276371,28.765371442213656
120,11.988811326026916,116.0161361694336
